sme_id,year,state,sector,size_category,annual_revenue_ngn,innovations_adopted,innovation_intensity,constraints_faced,constraint_severity,revenue_growth_rate,profitability_rate,employee_growth_rate,digital_readiness_score,access_to_finance,government_support,num_employees,years_in_operation,export_orientation,formal_registration
16062,2018,Kaduna,Real Estate,Small (10-49),1671576.86,Data Analytics; Blockchain Technology; Social Media Marketing; AI/ML Tools,0.25,Power Supply Issues; Market Access; Access to Credit; Financial Constraints; Limited R&D Investment; Government Policy Uncertainty,2.8,8.08,-0.22,13.93,5.0,Very Difficult,None,129,21,No,Yes
16063,2018,Kogi,Food & Beverage,Micro (1-9),16460.35,AI/ML Tools; Online Learning Platform; E-commerce Platform; Data Analytics,0.25,Limited Technical Support,4.71,6.62,13.21,5.77,1.0,Moderate,None,83,15,No,Yes
16064,2018,Borno,Healthcare,Micro (1-9),935476.47,AI/ML Tools; Mobile Payment System; Digital Marketing; E-commerce Platform,0.25,Access to Credit; Market Access; Financial Constraints,1.61,-0.91,18.38,11.2,2.65,Difficult,None,115,12,No,Yes
16065,2018,Ogun,Manufacturing,Medium (50-249),1499451.72,Data Analytics; Digital Marketing; AI/ML Tools; Telemedicine,0.25,Power Supply Issues; Competition from Large Firms; Limited R&D Investment; Financial Constraints,1.49,9.88,20.66,-1.23,2.46,Very Difficult,None,95,9,Yes,Yes
16066,2018,Niger,Food & Beverage,Micro (1-9),92025.18,,0.0,Technology Infrastructure; Competition from Large Firms; High Internet Costs,1.32,-2.25,6.64,16.17,2.42,Moderate,Minimal,87,19,No,No
16067,2018,Kano,Agriculture,Micro (1-9),179156.97,E-commerce Platform; Online Learning Platform,0.125,Digital Literacy; Infrastructure Limitations; Technical Skills Gap,1.9,15.15,10.76,27.77,1.97,Moderate,None,48,5,Yes,Yes
16068,2018,Lagos,Food & Beverage,Medium (50-249),4126470.52,Financial Technology; E-commerce Platform; IoT Solutions; Digital Marketing; Telemedicine,0.312,Technology Infrastructure; Government Policy Uncertainty; Power Supply Issues; Limited R&D Investment; Infrastructure Limitations; Technical Skills Gap; Access to Credit; Financial Constraints,1.4,31.72,11.57,14.51,4.12,Easy,Minimal,83,19,Yes,No
16069,2018,Plateau,Food & Beverage,Micro (1-9),76843.2,,0.0,Talent Acquisition; Government Policy Uncertainty; Financial Constraints; Infrastructure Limitations; Power Supply Issues; Technology Infrastructure,4.53,2.61,26.88,-0.6,1.92,Difficult,Minimal,231,8,Yes,No
16070,2018,Gombe,Technology,Micro (1-9),135320.52,Financial Technology; Online Learning Platform; Social Media Marketing,0.188,Financial Constraints; Infrastructure Limitations; Technology Infrastructure; Digital Literacy; Talent Acquisition; Access to Credit,3.38,-7.91,28.67,29.19,1.0,Moderate,Minimal,136,16,No,Yes
16071,2018,Osun,Education,Small (10-49),286794.02,IoT Solutions; Digital Marketing; Financial Technology; Automation Software,0.25,Digital Literacy; Limited R&D Investment,1.41,22.86,6.95,8.07,2.94,Very Difficult,None,235,21,No,Yes
16072,2018,Ekiti,Services,Micro (1-9),79211.86,E-commerce Platform; Cloud Computing,0.125,Limited Technical Support; Limited R&D Investment; Market Access; Talent Acquisition,1.89,12.84,5.78,11.33,5.0,Difficult,Minimal,150,16,Yes,Yes
16073,2018,Oyo,Technology,Micro (1-9),41070.27,Digital Marketing; Blockchain Technology,0.125,Talent Acquisition; Financial Constraints,3.55,3.96,18.52,-4.54,2.75,Difficult,None,222,3,No,Yes
16074,2018,Niger,Education,Micro (1-9),407658.46,Supply Chain Management; Financial Technology; Blockchain Technology; Social Media Marketing; CRM Systems,0.312,Regulatory Barriers; Market Access; Talent Acquisition; Competition from Large Firms; Infrastructure Limitations; Financial Constraints; Limited Technical Support; Technical Skills Gap,1.55,1.21,21.37,0.19,2.22,Moderate,Moderate,172,18,Yes,Yes
16075,2018,Osun,Tourism,Micro (1-9),95743.79,Digital Marketing; AI/ML Tools,0.125,Talent Acquisition; Market Access; High Internet Costs; Competition from Large Firms; Digital Literacy,1.03,16.88,7.1,-8.64,4.31,Difficult,Minimal,214,20,Yes,Yes
16076,2018,Cross River,Manufacturing,Small (10-49),53657.75,Smart Agriculture; Social Media Marketing; IoT Solutions; Data Analytics; Blockchain Technology,0.312,Financial Constraints; High Internet Costs; Digital Literacy; Government Policy Uncertainty; Technology Infrastructure; Power Supply Issues; Technical Skills Gap,3.46,21.88,22.95,17.28,1.79,Difficult,None,50,3,Yes,No
16077,2018,Sokoto,Financial Services,Micro (1-9),85734.27,Blockchain Technology; Social Media Marketing; Telemedicine,0.188,Access to Credit,2.74,-19.96,5.52,2.7,1.74,Moderate,Moderate,103,13,Yes,Yes
16078,2018,Nasarawa,Food & Beverage,Small (10-49),557758.45,Data Analytics; Financial Technology,0.125,Government Policy Uncertainty; Limited R&D Investment; Digital Literacy; Talent Acquisition; Financial Constraints,2.86,11.44,11.02,6.44,4.26,Easy,None,220,25,No,No
16079,2018,Bayelsa,Healthcare,Micro (1-9),153830.34,E-commerce Platform; Blockchain Technology,0.125,Regulatory Barriers; Limited Technical Support; Government Policy Uncertainty; Technical Skills Gap; Technology Infrastructure; Digital Literacy; Limited R&D Investment,3.04,19.23,11.3,1.94,1.97,Difficult,Significant,5,15,Yes,Yes
16080,2018,Ogun,Tourism,Medium (50-249),3795789.66,Blockchain Technology; Automation Software,0.125,Limited R&D Investment,3.86,23.93,13.29,1.18,4.01,Moderate,None,54,1,No,Yes
16081,2018,Kogi,Tourism,Micro (1-9),463132.35,Automation Software; Mobile Payment System; Financial Technology,0.188,Competition from Large Firms; Access to Credit; Financial Constraints; High Internet Costs,4.81,-8.02,22.29,14.35,1.0,Moderate,Moderate,45,19,No,No
16082,2018,Ogun,Construction,Micro (1-9),123730.04,Mobile Payment System; Supply Chain Management; Financial Technology,0.188,Power Supply Issues; Limited Technical Support; Regulatory Barriers; Infrastructure Limitations; High Internet Costs; Access to Credit; Limited R&D Investment,2.74,-3.69,0.14,12.02,5.0,Easy,None,126,1,No,Yes
16083,2018,Katsina,Healthcare,Micro (1-9),508256.61,Mobile Payment System; Online Learning Platform; Smart Agriculture; Telemedicine; Social Media Marketing,0.312,Limited Technical Support; Competition from Large Firms; Market Access; Financial Constraints; Government Policy Uncertainty; Regulatory Barriers; Technology Infrastructure; Access to Credit,2.23,-4.71,4.31,14.2,2.92,Very Difficult,Moderate,231,7,No,Yes
16084,2018,Anambra,Manufacturing,Small (10-49),137806.17,Digital Marketing,0.062,Talent Acquisition; Regulatory Barriers,2.3,-6.77,19.07,-6.41,1.77,Moderate,Minimal,22,11,No,Yes
16085,2018,Ondo,Manufacturing,Micro (1-9),9185.29,,0.0,Talent Acquisition; High Internet Costs,3.86,-8.06,27.22,13.97,4.12,Very Difficult,None,31,11,Yes,No
16086,2018,Kogi,Technology,Micro (1-9),73210.55,,0.0,Financial Constraints; Technical Skills Gap; Limited Technical Support; High Internet Costs; Power Supply Issues; Limited R&D Investment,2.27,7.08,14.36,-8.66,5.0,Very Difficult,Minimal,42,14,Yes,No
16087,2018,FCT,Construction,Micro (1-9),1732743.64,,0.0,Technology Infrastructure; Competition from Large Firms; Market Access; Regulatory Barriers; Infrastructure Limitations; High Internet Costs; Financial Constraints; Government Policy Uncertainty,1.89,-3.75,2.99,2.27,1.1,Moderate,None,231,1,Yes,Yes
16088,2018,Cross River,Services,Micro (1-9),494723.58,Social Media Marketing; Data Analytics,0.125,Government Policy Uncertainty; Regulatory Barriers; High Internet Costs; Technical Skills Gap; Access to Credit; Market Access; Limited Technical Support; Infrastructure Limitations,1.09,17.98,13.41,-0.81,1.0,Difficult,None,120,10,Yes,No
16089,2018,Bayelsa,Food & Beverage,Micro (1-9),83526.54,AI/ML Tools; Financial Technology; Digital Marketing,0.188,Financial Constraints; Limited Technical Support; Competition from Large Firms; Technology Infrastructure; Talent Acquisition; Government Policy Uncertainty; Infrastructure Limitations,4.12,48.27,10.05,-10.87,1.37,Easy,None,168,24,No,No
16090,2018,Kaduna,Manufacturing,Small (10-49),861050.04,,0.0,Limited Technical Support; Infrastructure Limitations; Power Supply Issues,2.32,12.3,15.18,4.58,3.01,Difficult,Moderate,141,14,No,No
16091,2018,Ekiti,Manufacturing,Small (10-49),2923645.18,CRM Systems,0.062,Talent Acquisition; Technology Infrastructure; Power Supply Issues; Regulatory Barriers,3.86,2.97,-7.56,-11.15,5.0,Difficult,Minimal,162,25,Yes,Yes
16092,2018,Zamfara,Real Estate,Micro (1-9),73729.22,Social Media Marketing; Blockchain Technology; IoT Solutions; E-commerce Platform; Supply Chain Management,0.312,Market Access; Limited Technical Support; Digital Literacy; Power Supply Issues; Infrastructure Limitations; Government Policy Uncertainty,1.82,26.63,15.82,2.04,3.91,Difficult,Moderate,2,17,Yes,No
16093,2018,Nasarawa,Energy,Small (10-49),1066624.02,AI/ML Tools; Smart Agriculture; Digital Marketing; Data Analytics; Blockchain Technology,0.312,Limited Technical Support; Technology Infrastructure; Power Supply Issues; Talent Acquisition; High Internet Costs; Financial Constraints; Regulatory Barriers; Limited R&D Investment,4.72,-11.16,8.11,4.0,3.41,Moderate,Minimal,135,18,Yes,No
16094,2018,Enugu,Transportation,Small (10-49),1380746.85,Supply Chain Management; Social Media Marketing; Cloud Computing; CRM Systems; AI/ML Tools,0.312,Digital Literacy; Regulatory Barriers; Competition from Large Firms,3.36,8.38,-8.03,21.35,2.58,Easy,Significant,136,17,Yes,Yes
16095,2018,Akwa Ibom,Financial Services,Micro (1-9),297695.6,,0.0,Regulatory Barriers,2.09,3.97,3.53,14.19,5.0,Moderate,None,79,7,No,No
16096,2018,Kogi,Education,Micro (1-9),156150.0,Financial Technology,0.062,Infrastructure Limitations,2.67,0.54,19.33,-11.28,3.47,Difficult,Minimal,7,6,Yes,Yes
16097,2018,Ebonyi,Services,Micro (1-9),243279.77,,0.0,Talent Acquisition; High Internet Costs; Power Supply Issues; Technical Skills Gap; Market Access; Financial Constraints,1.72,-6.09,15.93,12.17,3.3,Moderate,None,92,25,Yes,Yes
16098,2018,Rivers,Transportation,Micro (1-9),895756.07,Cloud Computing; Smart Agriculture; Financial Technology,0.188,Power Supply Issues; Government Policy Uncertainty; Digital Literacy; Limited Technical Support; Limited R&D Investment; Technical Skills Gap; Financial Constraints,1.68,-5.49,11.61,14.89,1.0,Difficult,Minimal,160,18,Yes,No
16099,2018,Ogun,Food & Beverage,Micro (1-9),667460.18,Mobile Payment System; AI/ML Tools,0.125,Limited Technical Support; Power Supply Issues; Technical Skills Gap,2.66,1.84,-7.67,6.26,3.36,Difficult,None,192,1,No,Yes
16100,2018,Kogi,Education,Micro (1-9),64180.65,IoT Solutions; Supply Chain Management; CRM Systems,0.188,Infrastructure Limitations; Access to Credit; Limited Technical Support; High Internet Costs; Limited R&D Investment; Competition from Large Firms,2.8,3.53,23.15,8.56,1.0,Difficult,Minimal,5,15,Yes,Yes
16101,2018,Abia,Real Estate,Micro (1-9),64535.84,AI/ML Tools,0.062,Limited R&D Investment; Regulatory Barriers; Government Policy Uncertainty; Access to Credit; High Internet Costs,2.17,-9.01,5.01,15.0,4.68,Difficult,None,134,21,Yes,Yes
16102,2018,Ondo,Education,Micro (1-9),414182.4,Smart Agriculture,0.062,High Internet Costs; Government Policy Uncertainty; Competition from Large Firms,1.22,15.42,16.53,9.76,4.94,Difficult,Minimal,223,15,Yes,Yes
16103,2018,Zamfara,Retail,Micro (1-9),267142.76,Online Learning Platform,0.062,Limited Technical Support; Technical Skills Gap; Government Policy Uncertainty; Access to Credit; Talent Acquisition; Market Access; Technology Infrastructure,2.19,27.79,-1.58,1.27,2.56,Difficult,None,58,18,Yes,Yes
16104,2018,Niger,Tourism,Micro (1-9),157841.21,Cloud Computing; Financial Technology; E-commerce Platform; Data Analytics; AI/ML Tools,0.312,Financial Constraints; Access to Credit; High Internet Costs; Digital Literacy; Regulatory Barriers,2.77,15.25,27.5,17.52,1.85,Moderate,None,229,1,Yes,Yes
16105,2018,Osun,Energy,Micro (1-9),85650.11,Supply Chain Management; AI/ML Tools; CRM Systems,0.188,Digital Literacy; Power Supply Issues,4.27,3.17,11.33,10.75,4.39,Moderate,None,249,20,Yes,Yes
16106,2018,Yobe,Food & Beverage,Micro (1-9),474879.82,Digital Marketing; Automation Software; Financial Technology; IoT Solutions; Data Analytics,0.312,Financial Constraints; Digital Literacy; Competition from Large Firms; Technology Infrastructure,2.66,28.29,9.77,15.92,3.73,Difficult,Minimal,123,22,Yes,No
16107,2018,Bayelsa,Mining,Small (10-49),56064.35,Smart Agriculture; AI/ML Tools; IoT Solutions; Social Media Marketing; Data Analytics,0.312,Technical Skills Gap; Power Supply Issues; Limited Technical Support; Talent Acquisition; High Internet Costs; Market Access,2.85,27.64,7.85,13.17,2.94,Very Difficult,Minimal,43,17,No,Yes
16108,2018,Nasarawa,Technology,Micro (1-9),403005.22,Data Analytics; Mobile Payment System; Blockchain Technology; Online Learning Platform,0.25,Market Access; Government Policy Uncertainty; Technology Infrastructure,4.56,17.16,17.1,-1.91,3.6,Easy,None,16,15,No,Yes
16109,2018,Borno,Food & Beverage,Micro (1-9),31762.0,Online Learning Platform; Cloud Computing; Financial Technology; AI/ML Tools,0.25,Infrastructure Limitations; Market Access; Talent Acquisition,2.22,-14.0,12.2,6.41,3.67,Difficult,Moderate,43,9,Yes,Yes
16110,2018,Rivers,Real Estate,Small (10-49),212162.36,Mobile Payment System,0.062,Digital Literacy; Limited R&D Investment; Market Access; Competition from Large Firms; Technology Infrastructure,1.63,-3.34,11.32,24.77,1.0,Difficult,Minimal,101,2,Yes,Yes
16111,2018,Cross River,Retail,Small (10-49),176230.27,Smart Agriculture; Supply Chain Management; CRM Systems; Blockchain Technology; Data Analytics,0.312,Talent Acquisition; Access to Credit; Technical Skills Gap; Competition from Large Firms; Limited R&D Investment,4.93,13.11,27.47,26.97,4.45,Moderate,None,208,22,Yes,Yes
16112,2018,Akwa Ibom,Retail,Small (10-49),37242.11,AI/ML Tools; Data Analytics,0.125,Government Policy Uncertainty,1.21,-3.15,22.01,9.3,3.26,Very Difficult,Moderate,131,5,Yes,No
16113,2018,Osun,Food & Beverage,Small (10-49),261417.39,Mobile Payment System; IoT Solutions; E-commerce Platform,0.188,Financial Constraints; Infrastructure Limitations,4.93,7.17,10.63,-10.95,2.8,Difficult,None,64,7,Yes,Yes
16114,2018,Kogi,Energy,Small (10-49),4123882.9,AI/ML Tools,0.062,Technical Skills Gap; Technology Infrastructure; Market Access; Infrastructure Limitations,2.46,11.05,14.33,9.1,5.0,Easy,None,209,6,No,Yes
16115,2018,Plateau,Retail,Micro (1-9),357008.04,Cloud Computing; Data Analytics; IoT Solutions; Blockchain Technology; Supply Chain Management,0.312,Digital Literacy,2.29,-27.95,9.73,33.63,3.11,Difficult,None,84,21,No,Yes
16116,2018,Ondo,Manufacturing,Small (10-49),4122184.1,Smart Agriculture; Automation Software; CRM Systems; Social Media Marketing; Telemedicine,0.312,Infrastructure Limitations; Limited Technical Support; Market Access,1.74,13.61,6.24,7.91,5.0,Moderate,None,140,1,Yes,No
16117,2018,Sokoto,Education,Medium (50-249),1473028.24,CRM Systems,0.062,Talent Acquisition; Infrastructure Limitations; Government Policy Uncertainty; Market Access; Technical Skills Gap; Regulatory Barriers,3.64,2.42,9.92,20.83,1.0,Very Difficult,Moderate,105,5,No,No
16118,2018,Rivers,Tourism,Micro (1-9),652467.19,AI/ML Tools; Social Media Marketing; Online Learning Platform; CRM Systems; Telemedicine,0.312,Talent Acquisition; Limited R&D Investment; Digital Literacy,3.6,8.69,12.23,11.09,3.06,Moderate,Minimal,214,25,No,No
16119,2018,Akwa Ibom,Transportation,Micro (1-9),1379563.31,AI/ML Tools; Mobile Payment System; Financial Technology; CRM Systems,0.25,Limited R&D Investment; Digital Literacy; Access to Credit,1.68,5.94,10.02,20.55,3.71,Difficult,None,109,9,Yes,Yes
16120,2018,Abia,Education,Small (10-49),2032894.29,,0.0,Power Supply Issues; Technology Infrastructure; Competition from Large Firms,1.12,-44.29,20.06,-12.94,1.45,Moderate,Minimal,61,14,No,Yes
16121,2018,Kaduna,Retail,Micro (1-9),1605928.12,Digital Marketing,0.062,Technical Skills Gap; Infrastructure Limitations; Power Supply Issues; Technology Infrastructure,4.48,-5.59,8.39,4.04,3.59,Difficult,Minimal,6,1,No,Yes
16122,2018,Imo,Transportation,Micro (1-9),207977.89,CRM Systems; E-commerce Platform; Financial Technology; Online Learning Platform,0.25,Government Policy Uncertainty; Regulatory Barriers; Digital Literacy; Market Access; Technical Skills Gap; Limited R&D Investment,4.54,9.54,4.82,5.32,1.98,Difficult,None,149,5,No,Yes
16123,2018,Borno,Agriculture,Micro (1-9),263701.74,Social Media Marketing,0.062,Financial Constraints; High Internet Costs; Digital Literacy; Technical Skills Gap; Access to Credit; Power Supply Issues; Competition from Large Firms,1.59,13.8,19.19,30.83,2.36,Difficult,Minimal,171,22,Yes,No
16124,2018,Akwa Ibom,Construction,Micro (1-9),63028.57,,0.0,Technical Skills Gap,3.48,13.31,10.77,13.86,5.0,Very Difficult,Minimal,227,20,No,Yes
16125,2018,Katsina,Energy,Micro (1-9),585203.69,AI/ML Tools; Financial Technology; Cloud Computing,0.188,Talent Acquisition,1.2,17.98,5.96,25.77,4.44,Difficult,None,121,17,No,No
16126,2018,Ondo,Real Estate,Micro (1-9),248842.04,,0.0,Digital Literacy; Power Supply Issues,2.46,2.3,12.02,8.25,1.69,Moderate,Moderate,69,8,No,No
16127,2018,Oyo,Mining,Small (10-49),383935.26,Automation Software; IoT Solutions,0.125,Power Supply Issues; Limited Technical Support,1.28,10.55,21.17,18.87,4.22,Very Difficult,Minimal,42,11,No,Yes
16128,2018,Imo,Financial Services,Micro (1-9),83746.62,E-commerce Platform; Cloud Computing; Data Analytics,0.188,Access to Credit; Technical Skills Gap; Talent Acquisition; Competition from Large Firms; Government Policy Uncertainty,4.13,55.49,5.66,3.25,2.55,Easy,Minimal,184,25,Yes,Yes
16129,2018,Borno,Real Estate,Micro (1-9),183815.74,Supply Chain Management; Data Analytics,0.125,Limited R&D Investment; Limited Technical Support; Competition from Large Firms; Market Access; Technology Infrastructure,3.4,-20.94,13.23,-2.41,1.0,Difficult,Moderate,136,8,Yes,Yes
16130,2018,Zamfara,Retail,Micro (1-9),6174.38,,0.0,Limited R&D Investment; Market Access; Talent Acquisition; Financial Constraints; Competition from Large Firms,2.57,3.71,22.16,-12.1,1.0,Difficult,None,23,21,Yes,Yes
16131,2018,Taraba,Construction,Small (10-49),205630.97,CRM Systems; Automation Software,0.125,Government Policy Uncertainty,4.61,3.54,9.76,0.36,3.69,Moderate,None,157,7,No,Yes
16132,2018,Rivers,Mining,Micro (1-9),58708.53,Blockchain Technology,0.062,Technical Skills Gap; Competition from Large Firms; Talent Acquisition; Market Access,2.15,-11.31,5.19,13.31,1.18,Moderate,None,167,23,No,Yes
16133,2018,Kebbi,Education,Micro (1-9),553655.67,Supply Chain Management; Telemedicine; Online Learning Platform; Smart Agriculture; E-commerce Platform,0.312,Technology Infrastructure; Competition from Large Firms; Limited Technical Support; Market Access; Infrastructure Limitations; Financial Constraints,4.43,2.8,17.84,21.19,3.9,Easy,Significant,239,8,No,Yes
16134,2018,Kwara,Tourism,Small (10-49),874462.51,Automation Software; Digital Marketing,0.125,Power Supply Issues; Talent Acquisition; Limited Technical Support,4.91,-2.94,24.14,-5.26,4.38,Moderate,Minimal,54,16,No,Yes
16135,2018,Gombe,Technology,Micro (1-9),423064.14,Mobile Payment System; Cloud Computing; AI/ML Tools,0.188,Power Supply Issues; Financial Constraints; Technology Infrastructure; Regulatory Barriers; Digital Literacy,4.8,15.84,-0.09,23.7,1.78,Very Difficult,Moderate,112,8,No,No
16136,2018,Rivers,Services,Small (10-49),454603.7,AI/ML Tools; Blockchain Technology; Online Learning Platform; Cloud Computing,0.25,Infrastructure Limitations; Competition from Large Firms,1.52,3.29,5.29,-2.4,4.01,Very Difficult,Minimal,70,19,No,Yes
16137,2018,Niger,Technology,Medium (50-249),41921909.49,Supply Chain Management; Automation Software,0.125,Technology Infrastructure,2.49,17.43,7.33,-7.87,5.0,Moderate,None,175,15,Yes,Yes
16138,2018,Gombe,Food & Beverage,Micro (1-9),122667.43,,0.0,Financial Constraints,4.49,27.16,2.29,-11.0,3.18,Moderate,None,205,24,Yes,Yes
16139,2018,Bauchi,Agriculture,Micro (1-9),99091.07,Social Media Marketing; IoT Solutions; Smart Agriculture; Data Analytics,0.25,Market Access; Technology Infrastructure; Government Policy Uncertainty; Limited Technical Support; Limited R&D Investment; Talent Acquisition; Competition from Large Firms,2.95,27.34,18.99,12.7,2.82,Very Difficult,Minimal,47,19,Yes,No
16140,2018,Lagos,Healthcare,Small (10-49),22499255.93,,0.0,Access to Credit; High Internet Costs; Competition from Large Firms; Technical Skills Gap; Infrastructure Limitations,3.38,-12.05,15.54,14.51,5.0,Very Difficult,Moderate,233,9,Yes,Yes
16141,2018,Kwara,Transportation,Micro (1-9),51656.31,Cloud Computing; Smart Agriculture; Financial Technology; Social Media Marketing,0.25,Power Supply Issues; Regulatory Barriers; Limited R&D Investment; Technical Skills Gap; Talent Acquisition; Technology Infrastructure,4.57,11.42,8.26,5.88,3.66,Moderate,Minimal,53,17,Yes,No
16142,2018,Enugu,Construction,Small (10-49),13956880.43,Blockchain Technology; Mobile Payment System; Automation Software; Cloud Computing; IoT Solutions,0.312,Regulatory Barriers; Market Access; Financial Constraints,2.82,-15.07,6.26,-6.36,4.63,Moderate,Moderate,112,11,No,Yes
16143,2018,Yobe,Tourism,Small (10-49),65602.14,IoT Solutions; Mobile Payment System,0.125,Financial Constraints; Competition from Large Firms,4.33,9.0,6.61,12.38,3.27,Easy,Minimal,116,19,No,No
16144,2018,Kebbi,Food & Beverage,Micro (1-9),99748.03,E-commerce Platform; AI/ML Tools; Automation Software,0.188,Financial Constraints; Power Supply Issues,3.44,26.64,23.57,20.42,3.5,Moderate,Minimal,96,14,No,Yes
16145,2018,Gombe,Healthcare,Micro (1-9),446623.59,IoT Solutions; Digital Marketing,0.125,Talent Acquisition; Access to Credit; Technical Skills Gap; Digital Literacy,1.88,-10.56,18.2,8.52,1.55,Moderate,Minimal,9,2,Yes,No
16146,2018,Benue,Technology,Micro (1-9),443541.94,Automation Software; IoT Solutions,0.125,Government Policy Uncertainty; Technical Skills Gap,4.28,-13.09,28.6,9.66,3.24,Difficult,None,88,23,Yes,Yes
16147,2018,Jigawa,Food & Beverage,Micro (1-9),83904.07,Online Learning Platform; Automation Software,0.125,Regulatory Barriers; Financial Constraints; Talent Acquisition; Limited R&D Investment; Access to Credit,2.68,54.24,16.74,-3.21,3.88,Difficult,Significant,152,11,Yes,Yes
16148,2018,Benue,Education,Medium (50-249),8467060.4,Automation Software; Supply Chain Management; AI/ML Tools; Mobile Payment System; Blockchain Technology,0.312,Regulatory Barriers; Limited Technical Support; Financial Constraints; Technology Infrastructure; Access to Credit; Power Supply Issues; Digital Literacy,4.54,12.0,18.71,-7.87,1.0,Moderate,Minimal,108,2,No,Yes
16149,2018,Zamfara,Energy,Small (10-49),19276225.61,,0.0,Power Supply Issues; Limited R&D Investment; High Internet Costs; Infrastructure Limitations,1.06,-5.4,12.81,14.37,2.9,Easy,Minimal,174,2,Yes,No
16150,2018,Benue,Agriculture,Micro (1-9),543412.22,Blockchain Technology; E-commerce Platform; Supply Chain Management; Automation Software; Financial Technology,0.312,Technical Skills Gap; Financial Constraints; Limited R&D Investment; Market Access,4.11,22.77,7.65,7.68,1.1,Very Difficult,Moderate,175,24,No,No
16151,2018,Benue,Energy,Medium (50-249),10045466.04,Telemedicine; Automation Software; IoT Solutions,0.188,Technology Infrastructure; Infrastructure Limitations; Power Supply Issues; Technical Skills Gap; Limited Technical Support,3.37,-2.05,15.04,-14.8,2.85,Moderate,None,131,5,Yes,No
16152,2018,Rivers,Healthcare,Small (10-49),50530073.75,Automation Software; Online Learning Platform; Data Analytics; Digital Marketing,0.25,Access to Credit; Market Access; Technology Infrastructure; Infrastructure Limitations; Technical Skills Gap,1.32,21.11,3.27,1.06,2.4,Moderate,None,88,1,No,Yes
16153,2018,FCT,Energy,Micro (1-9),708504.8,IoT Solutions; Automation Software,0.125,Digital Literacy; Power Supply Issues; Technical Skills Gap,3.65,2.51,10.49,18.29,3.94,Moderate,None,70,11,Yes,Yes
16154,2018,Niger,Services,Small (10-49),109340.45,Financial Technology; E-commerce Platform; Smart Agriculture; Online Learning Platform,0.25,Power Supply Issues; Regulatory Barriers; Technical Skills Gap; Access to Credit; Limited R&D Investment,2.18,-16.25,3.26,7.46,3.44,Difficult,Moderate,126,25,Yes,Yes
16155,2018,Niger,Transportation,Small (10-49),591079.96,Social Media Marketing; Automation Software; Online Learning Platform; Smart Agriculture; CRM Systems,0.312,Competition from Large Firms; Digital Literacy; Market Access; Limited Technical Support; Regulatory Barriers,1.72,37.5,10.9,2.4,1.0,Very Difficult,Moderate,52,13,Yes,Yes
16156,2018,Sokoto,Manufacturing,Micro (1-9),181241.97,,0.0,Infrastructure Limitations; Limited Technical Support,4.52,1.24,6.42,14.48,1.91,Moderate,None,105,7,No,Yes
16157,2018,Yobe,Manufacturing,Micro (1-9),175133.58,Automation Software; AI/ML Tools; CRM Systems,0.188,Government Policy Uncertainty; Infrastructure Limitations; Technical Skills Gap; Technology Infrastructure; Digital Literacy; Market Access,2.12,-1.96,10.68,9.09,2.67,Moderate,None,249,5,Yes,Yes
16158,2018,Jigawa,Technology,Medium (50-249),11336421.66,Financial Technology; Blockchain Technology; CRM Systems,0.188,High Internet Costs; Talent Acquisition; Limited R&D Investment; Regulatory Barriers; Digital Literacy; Competition from Large Firms,1.63,7.73,22.26,14.66,4.5,Easy,Significant,107,16,No,No
16159,2018,Kwara,Mining,Micro (1-9),406574.52,Telemedicine,0.062,Technology Infrastructure; High Internet Costs,1.67,23.12,11.16,-19.72,5.0,Moderate,Moderate,60,5,No,Yes
16160,2018,Benue,Agriculture,Medium (50-249),3451586.32,Supply Chain Management; Smart Agriculture; Automation Software; Financial Technology; E-commerce Platform,0.312,Regulatory Barriers; Market Access,4.58,6.43,15.26,-12.7,5.0,Difficult,None,90,4,No,No
16161,2018,Sokoto,Real Estate,Micro (1-9),142012.98,CRM Systems; Supply Chain Management; Financial Technology; Cloud Computing,0.25,High Internet Costs; Market Access,2.96,13.02,11.38,-2.02,3.35,Difficult,Significant,249,12,No,No
16162,2018,Adamawa,Food & Beverage,Micro (1-9),179217.93,Digital Marketing; Supply Chain Management; E-commerce Platform; Telemedicine,0.25,Power Supply Issues; Access to Credit; Talent Acquisition; High Internet Costs; Limited Technical Support; Technical Skills Gap; Market Access; Regulatory Barriers,1.14,-36.26,10.71,30.71,2.61,Moderate,Moderate,204,3,Yes,Yes
16163,2018,Edo,Energy,Small (10-49),230192.88,E-commerce Platform; Smart Agriculture; Telemedicine; Social Media Marketing,0.25,Technical Skills Gap; High Internet Costs,3.0,6.81,21.61,8.08,3.84,Difficult,Minimal,118,21,No,Yes
16164,2018,Kaduna,Energy,Micro (1-9),741921.99,Digital Marketing; Smart Agriculture; Cloud Computing,0.188,High Internet Costs; Financial Constraints; Power Supply Issues; Competition from Large Firms,3.92,31.38,-5.76,-14.17,3.74,Difficult,Significant,229,23,No,No
16165,2018,FCT,Energy,Medium (50-249),236756.45,CRM Systems; Online Learning Platform; Cloud Computing; IoT Solutions; Financial Technology,0.312,Financial Constraints; Government Policy Uncertainty; Infrastructure Limitations; Technical Skills Gap,3.78,-4.82,5.65,9.49,2.54,Moderate,None,223,11,No,Yes
